blind_id,model_id,precision,item_id,item_type,mode,source_pdf,row_sha256,words,output_tokens,input_tokens,generation_seconds,output_tokens_per_second,cap,empty,gpu,selected_option,reference_option,initial_format_parse_status,strict_score,partial_credit,criteria_coverage,primary_score,label,review_required,incorrect_addition,quote_verbatim,extraction_method,mcq_uncertain,reason,judge,answer_sha256,source_row_sha256,parsed_option
f497c7a80551022474715786,meta-llama/Llama-3.2-1B-Instruct,NF4,rera_criteria_001,criteria_qa,no_rag,AASM Scoring Version 3_searchable.pdf,df9bc3d6db6a753cadef84e75acaa9526bb810921a73fb9975598482482edfb9,273.0,383.0,134.0,7.089478247798979,54.02372172012903,False,False,NVIDIA RTX A6000,,,,0.0,0.0,0.0,0.0,incorrect,True,True,True,,False,"The response completely fails to provide the polysomnographic defining criteria for a RERA, incorrectly defining it as a general sleep disorder characterized by excessive daytime sleepiness.",Original Gemini 3.8 Flash assessment / choice extraction,,,
c1ecb1ca2bdfaf07348facb8,meta-llama/Llama-3.2-1B-Instruct,NF4,rera_criteria_001,criteria_qa,with_rag,AASM Scoring Version 3_searchable.pdf,07747cc3dea19101bfe32c457ae33b0de13362388ad430aa4543771cfe489ce6,246.0,328.0,1550.0,6.113417087122798,53.652481963138726,False,False,NVIDIA RTX A6000,,,,0.0,0.0,0.0,0.0,incorrect,True,True,True,,False,The response confuses RERA with central sleep apnea and misses all candidate reference criteria.,Original Gemini 3.8 Flash assessment / choice extraction,,,
93a400705e87489c0f5b3857,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_peds_obstructive_hypopnea_criteria,criteria_qa,with_rag,AASM Scoring Version 3_searchable.pdf,a5e8068ec3375acaaf7db12421019cf6a4595af88aab7be5822e5d537b1fc114,114.0,157.0,1893.0,2.946145216934383,53.28997331752935,False,False,NVIDIA RTX A6000,,,,0.0,0.0,0.0,0.0,incorrect,True,False,True,,False,"The response lists general pediatric hypopnea scoring criteria rather than the specific qualifying obstructive features (snoring, inspiratory flattening, or thoracoabdominal paradox).",Original Gemini 3.8 Flash assessment / choice extraction,,,
1e19a52806756122d771ddfd,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_peds_obstructive_hypopnea_criteria,criteria_qa,no_rag,AASM Scoring Version 3_searchable.pdf,db240c4849050139c7c54c995014545107031e3c2a267f3a5eee0ec212cf9605,729.0,1024.0,149.0,19.20253502111882,53.32629253761608,True,False,NVIDIA RTX A6000,,,,0.0,0.0,0.0,0.0,incorrect,True,True,True,,False,"The response completely misses all three reference criteria (snoring, flattening, and thoracoabdominal paradox) and hallucinates incorrect criteria.",Original Gemini 3.8 Flash assessment / choice extraction,,,
a97f0fa2bb98376f6a9e9119,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_video_001,free_text_qa,no_rag,AASM Scoring Version 3_searchable.pdf,0a9d42de9b709d70b742b6b078dd33f5db78389d706ea6021c194eea9ef5be81,157.0,191.0,144.0,3.695858594961464,51.67946637904081,False,False,NVIDIA RTX A6000,,,,0.0,0.0,,0.0,incorrect,True,True,True,,False,"The response incorrectly claims a 1:1 synchronization rate matching the sampling frequency (e.g., 1000 Hz) instead of synchronization within 1 second and at least 1 frame per second.",Original Gemini 3.8 Flash assessment / choice extraction,,,
59bbe2b9abdfccd598cdee8c,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_video_001,free_text_qa,with_rag,AASM Scoring Version 3_searchable.pdf,3673c45ce4a9357c05f7ef46f92fdcddc714e898c8a1badf3decaec84e0509ec,103.0,131.0,1712.0,2.4941607750952244,52.52267668871449,False,False,NVIDIA RTX A6000,,,,1.0,1.0,,1.0,correct,False,False,True,,False,The response accurately identifies both the 1-second synchronization requirement and the minimum frame rate of at least 1 frame per second per the AASM manual.,Original Gemini 3.8 Flash assessment / choice extraction,,,
f3da29822b6ffe1d9abbc6f4,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_extensor_digitorum_emg,free_text_qa,no_rag,AASM Scoring Version 3_searchable.pdf,053a0f53826cfc6c944c3912505f34916a9280a4c546aa62bf747be62ac8cb1b,156.0,204.0,153.0,3.7214775634929538,54.81693669235157,False,False,NVIDIA RTX A6000,,,,0.0,0.0,,0.0,incorrect,True,True,True,,False,The response fails to state the correct maneuver (extending fingers back without moving the wrist) and instead invents an incorrect 'hold at 10% maximum contraction' maneuver.,Original Gemini 3.8 Flash assessment / choice extraction,,,
b93f8222d278b6dd5a09346d,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_extensor_digitorum_emg,free_text_qa,with_rag,AASM Scoring Version 3_searchable.pdf,9f9b90a80b49104d9ac441c71ba85ead539c045109c87b82c7b4202306a2029a,99.0,126.0,1760.0,2.3451249562203884,53.72848029517062,False,False,NVIDIA RTX A6000,,,,0.0,0.0,,0.0,incorrect,True,True,True,,False,The response incorrectly instructs the patient to flex their fingers instead of extending them.,Original Gemini 3.8 Flash assessment / choice extraction,,,
da7f29d38e04725822028a80,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_scoring_n3_to_n2_01,mcq,with_rag,AASM Scoring Version 3_searchable.pdf,aa9d715b28afa5103f64a20278e8d64f5d01bfda55a5ac84fd6cfcc1dcd7a257,80.0,97.0,1783.0,1.815684562548995,53.423376505346326,False,False,NVIDIA RTX A6000,B,B,unparsed_or_noncompliant,1.0,1.0,,1.0,correct,False,False,,blinded_implicit,False,,Original Gemini 3.8 Flash assessment / choice extraction,,,
2c72a1cfcd515da94fa8dfcf,meta-llama/Llama-3.2-1B-Instruct,NF4,aasm_scoring_n3_to_n2_01,mcq,no_rag,AASM Scoring Version 3_searchable.pdf,53eee0459894ece92cf42b66e13e943351b95da2ab57585c3487978d22fe7261,67.0,88.0,188.0,1.6049562087282538,54.83015643755791,False,False,NVIDIA RTX A6000,A,B,unparsed_or_noncompliant,0.0,0.0,,0.0,incorrect,False,False,,blinded_implicit,False,,Original Gemini 3.8 Flash assessment / choice extraction,,,
