model_id,item_type,before,after,paired_n,before_pct,perfect_pct,delta_pp,ci_low_pp,ci_high_pp,p_unadjusted,interpretation
Qwen/Qwen3.8-27B,criteria_qa,no_rag,perfect_retrieval,108,44.070399764844204,98.01697530864197,53.94657554379777,48.073522927689595,59.668301734273946,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
Qwen/Qwen3.8-27B,criteria_qa,with_rag,perfect_retrieval,108,94.12037037037038,98.01697530864197,3.896604938271605,-0.07735339506172804,8.240933641975307,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
Qwen/Qwen3.8-27B,free_text_qa,no_rag,perfect_retrieval,396,28.030303030303028,99.4949494949495,71.46464646464646,66.91919191919192,75.75757575757575,1.2868893973670072e-85,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
Qwen/Qwen3.8-27B,free_text_qa,with_rag,perfect_retrieval,396,88.38383838383838,99.4949494949495,11.11111111111111,8.080808080808081,14.393939393939394,8.363087999896379e-12,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
Qwen/Qwen3.8-27B,mcq,no_rag,perfect_retrieval,702,75.07122507122507,97.57834757834758,22.507122507122507,19.373219373219374,25.641025641025642,2.2032134058231987e-46,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
Qwen/Qwen3.8-27B,mcq,with_rag,perfect_retrieval,702,95.2991452991453,97.57834757834758,2.2792022792022792,0.7122507122507122,3.8461538461538463,0.0070003666914999485,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,criteria_qa,no_rag,perfect_retrieval,110,19.914141414141415,95.34848484848484,75.43434343434343,70.66919191919192,79.8157196969697,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,criteria_qa,with_rag,perfect_retrieval,110,90.91161616161617,95.34848484848484,4.436868686868687,-0.11912878787878786,9.4092803030303,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,free_text_qa,no_rag,perfect_retrieval,395,13.164556962025317,97.21518987341771,84.05063291139241,80.50632911392405,87.59493670886076,2.28597478256455e-100,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,free_text_qa,with_rag,perfect_retrieval,396,85.35353535353535,97.22222222222221,11.868686868686869,8.080808080808081,15.656565656565656,4.042104433067336e-09,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,mcq,no_rag,perfect_retrieval,702,57.407407407407405,94.72934472934473,37.32193732193732,33.76068376068376,40.883190883190885,5.989992533760037e-76,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
XHToken/Spark-X2.5-4B,mcq,with_rag,perfect_retrieval,702,75.07122507122507,94.72934472934473,19.65811965811966,16.666666666666668,22.79202279202279,1.1891783915075953e-34,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
google/gemma-3-12b-it,criteria_qa,no_rag,perfect_retrieval,108,36.58179012345679,98.14043209876544,61.558641975308646,55.33950617283952,67.38425925925927,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
google/gemma-3-12b-it,criteria_qa,with_rag,perfect_retrieval,108,90.70987654320987,98.14043209876544,7.4305555555555545,3.6265432098765427,11.782407407407405,,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
google/gemma-3-12b-it,free_text_qa,no_rag,perfect_retrieval,391,23.785166240409207,97.9539641943734,74.16879795396419,69.56521739130434,78.51662404092072,2.7249631643660955e-84,Descriptive comparison across different judges; cannot isolate retrieval from judge effects.
