blind_id,component_index,status,score
39c0346902df7bb7f64d03af,0,covered,1.0
39c0346902df7bb7f64d03af,1,covered,1.0
39c0346902df7bb7f64d03af,2,covered,1.0
39c0346902df7bb7f64d03af,3,covered,1.0
dc2105aa5b88e23460d5933c,0,covered,1.0
dc2105aa5b88e23460d5933c,1,covered,1.0
dc2105aa5b88e23460d5933c,2,covered,1.0
da656d286101153078ba0470,0,covered,1.0
da656d286101153078ba0470,1,covered,1.0
da656d286101153078ba0470,2,covered,1.0
da656d286101153078ba0470,3,covered,1.0
a45bde96ad0eb656717a9257,0,covered,1.0
a45bde96ad0eb656717a9257,1,covered,1.0
a45bde96ad0eb656717a9257,2,covered,1.0
79939f47ee3b1b064d92cf72,0,covered,1.0
79939f47ee3b1b064d92cf72,1,covered,1.0
9fbf141bac700482ebe6637d,0,covered,1.0
9fbf141bac700482ebe6637d,1,covered,1.0
9fbf141bac700482ebe6637d,2,covered,1.0
9fbf141bac700482ebe6637d,3,covered,1.0
5a52ba99ba9fec3df7e0695b,0,covered,1.0
5a52ba99ba9fec3df7e0695b,1,covered,1.0
5a52ba99ba9fec3df7e0695b,2,covered,1.0
b57ac80e77fc00f836856bb0,0,covered,1.0
b57ac80e77fc00f836856bb0,1,covered,1.0
b57ac80e77fc00f836856bb0,2,covered,1.0
b57ac80e77fc00f836856bb0,3,covered,1.0
c5b96915e83a0dab304b4322,0,covered,1.0
c5b96915e83a0dab304b4322,1,covered,1.0
cf91e9216af838c91150de76,0,covered,1.0
cf91e9216af838c91150de76,1,covered,1.0
cf91e9216af838c91150de76,2,covered,1.0
73e87cc3c587f60dd51dfbff,0,covered,1.0
73e87cc3c587f60dd51dfbff,1,covered,1.0
73e87cc3c587f60dd51dfbff,2,covered,1.0
906623d5d90b3ef80b49e44d,0,covered,1.0
906623d5d90b3ef80b49e44d,1,covered,1.0
906623d5d90b3ef80b49e44d,2,covered,1.0
8be73135133a44c049a92ec2,0,covered,1.0
8be73135133a44c049a92ec2,1,covered,1.0
8be73135133a44c049a92ec2,2,covered,1.0
8291e10e0343966fb37596ce,0,covered,1.0
8291e10e0343966fb37596ce,1,covered,1.0
8291e10e0343966fb37596ce,2,covered,1.0
184efe1f61364342a94f6901,0,covered,1.0
184efe1f61364342a94f6901,1,covered,1.0
184efe1f61364342a94f6901,2,covered,1.0
184efe1f61364342a94f6901,3,covered,1.0
8e3f59045772f81b18300be3,0,covered,1.0
8e3f59045772f81b18300be3,1,covered,1.0
3643457fced06bf40d974a56,0,covered,1.0
3643457fced06bf40d974a56,1,covered,1.0
3643457fced06bf40d974a56,2,covered,1.0
69ac567d9504c6c1d653745a,0,covered,1.0
69ac567d9504c6c1d653745a,1,covered,1.0
69ac567d9504c6c1d653745a,2,covered,1.0
5dc13b4f61c955aba2def53e,0,covered,1.0
5dc13b4f61c955aba2def53e,1,covered,1.0
5dc13b4f61c955aba2def53e,2,covered,1.0
db3f3e990d5483af04e462a5,0,contradicted,0.0
db3f3e990d5483af04e462a5,1,covered,1.0
db3f3e990d5483af04e462a5,2,covered,1.0
057b4a689fc723c5d27ea132,0,covered,1.0
057b4a689fc723c5d27ea132,1,covered,1.0
057b4a689fc723c5d27ea132,2,covered,1.0
057b4a689fc723c5d27ea132,3,covered,1.0
77f78a238939aabf5c1ce2a0,0,covered,1.0
77f78a238939aabf5c1ce2a0,1,covered,1.0
77f78a238939aabf5c1ce2a0,2,covered,1.0
e43e8faa5616f6f675394240,0,covered,1.0
e43e8faa5616f6f675394240,1,covered,1.0
e43e8faa5616f6f675394240,2,covered,1.0
e43e8faa5616f6f675394240,3,covered,1.0
e43e8faa5616f6f675394240,4,covered,1.0
6beff5a9f6787f530ab8195a,0,covered,1.0
6beff5a9f6787f530ab8195a,1,covered,1.0
6beff5a9f6787f530ab8195a,2,covered,1.0
7ef42d9ef157846653fd0f60,0,covered,1.0
7ef42d9ef157846653fd0f60,1,covered,1.0
7ef42d9ef157846653fd0f60,2,covered,1.0
8d264a351e75597a61ca9095,0,covered,1.0
8d264a351e75597a61ca9095,1,covered,1.0
8d264a351e75597a61ca9095,2,covered,1.0
8d264a351e75597a61ca9095,3,covered,1.0
0a347df720fb55ef44706493,0,covered,1.0
0a347df720fb55ef44706493,1,covered,1.0
0a347df720fb55ef44706493,2,partial,0.5
ac0ba7403d83c0312d6c23d1,0,covered,1.0
ac0ba7403d83c0312d6c23d1,1,covered,1.0
ac0ba7403d83c0312d6c23d1,2,covered,1.0
c34402d3645864b3b0019a99,0,covered,1.0
c34402d3645864b3b0019a99,1,covered,1.0
c34402d3645864b3b0019a99,2,covered,1.0
e581cf73e5f2a58be338476e,0,covered,1.0
e581cf73e5f2a58be338476e,1,covered,1.0
50009268aa4b2dcc143a9acd,0,covered,1.0
50009268aa4b2dcc143a9acd,1,covered,1.0
50009268aa4b2dcc143a9acd,2,covered,1.0
a274bf2cbfc21e62d48320c7,0,covered,1.0
a274bf2cbfc21e62d48320c7,1,covered,1.0
a274bf2cbfc21e62d48320c7,2,covered,1.0
eec8d2bcf9bb9bfbc15f8bc7,0,covered,1.0
eec8d2bcf9bb9bfbc15f8bc7,1,covered,1.0
eec8d2bcf9bb9bfbc15f8bc7,2,covered,1.0
eec8d2bcf9bb9bfbc15f8bc7,3,covered,1.0
a98b14d92a8a798b8a6b6f5f,0,covered,1.0
a98b14d92a8a798b8a6b6f5f,1,covered,1.0
a98b14d92a8a798b8a6b6f5f,2,covered,1.0
a98b14d92a8a798b8a6b6f5f,3,covered,1.0
6b69deaa960b85a5b3265a54,0,covered,1.0
6b69deaa960b85a5b3265a54,1,covered,1.0
6b69deaa960b85a5b3265a54,2,covered,1.0
7832d333dac8ea0693979b99,0,covered,1.0
7832d333dac8ea0693979b99,1,covered,1.0
7832d333dac8ea0693979b99,2,covered,1.0
3e7310076d231ef1f08739e4,0,covered,1.0
3e7310076d231ef1f08739e4,1,covered,1.0
7587b0f066b8f1ad43830d80,0,covered,1.0
7587b0f066b8f1ad43830d80,1,covered,1.0
6726f3ec9afa867669198a37,0,covered,1.0
6726f3ec9afa867669198a37,1,covered,1.0
e43a35aef1fb1b3cc55295dc,0,covered,1.0
e43a35aef1fb1b3cc55295dc,1,covered,1.0
e43a35aef1fb1b3cc55295dc,2,covered,1.0
e43a35aef1fb1b3cc55295dc,3,covered,1.0
e43a35aef1fb1b3cc55295dc,4,covered,1.0
